ride_date,day_of_week,month,avg_duration_min,num_rides,temp_f,max_temp_f,min_temp_f,wind_speed_knots,precip_in
2017-05-12,Friday,5,14.97,56675,56.5,64.0,52.0,6.9,0.0
2017-10-25,Wednesday,10,16.32,71287,64.8,75.9,61.0,5.5,0.09
2017-05-09,Tuesday,5,13.92,56461,55.6,64.0,48.0,9.2,0.0
2017-07-21,Friday,7,15.76,60072,84.4,98.1,77.0,8.7,0.0
2017-07-16,Sunday,7,21.49,56833,78.0,86.0,66.9,6.6,0.01
2017-07-29,Saturday,7,17.36,52947,73.3,84.0,68.0,13.2,0.0
2017-08-22,Tuesday,8,19.69,60541,81.5,91.0,75.0,8.6,0.0
2017-07-31,Monday,7,14.7,64218,77.7,89.1,66.0,5.3,0.0
2017-05-05,Friday,5,12.93,24009,56.0,66.0,51.1,11.4,0.01
2017-10-30,Monday,10,13.98,49247,57.1,68.0,46.9,15.9,2.79
2017-10-23,Monday,10,16.22,69274,66.9,75.9,57.9,7.1,0.0
2017-08-12,Saturday,8,23.13,60540,71.8,82.0,64.9,5.9,0.17
2017-09-28,Thursday,9,14.31,70883,74.1,84.0,68.0,11.8,0.0
2017-07-27,Thursday,7,14.64,65769,72.2,78.1,64.9,7.9,0.0
2017-11-02,Thursday,11,15.93,70810,63.0,72.0,46.9,6.7,0.0
2017-07-10,Monday,7,16.57,60907,78.7,88.0,70.0,8.0,0.0
2017-07-24,Monday,7,15.02,43792,70.2,80.1,64.0,11.1,0.46
2017-09-07,Thursday,9,16.87,69519,65.4,73.0,60.8,8.3,0.44
2017-07-23,Sunday,7,17.48,46942,76.4,91.0,72.0,5.4,0.6
2017-08-19,Saturday,8,24.2,62442,80.1,89.1,73.0,7.5,0.9
2017-09-05,Tuesday,9,17.34,65445,76.4,84.9,64.0,8.8,0.0
2017-04-13,Thursday,4,15.52,52915,58.5,77.0,50.0,9.8,0.03
2017-11-21,Tuesday,11,15.0,52451,49.1,59.0,37.0,11.2,0.0
2017-06-14,Wednesday,6,17.42,60513,78.8,93.9,71.6,7.8,0.48
2017-08-13,Sunday,8,21.75,57518,76.8,84.9,64.9,8.0,0.16
2017-12-28,Thursday,12,11.01,13420,17.3,25.0,14.0,15.2,0.0
2017-10-31,Tuesday,10,13.94,60242,53.8,62.1,46.9,13.2,0.05
2017-06-30,Friday,6,19.61,58662,80.2,89.1,69.1,11.7,0.0
2017-11-25,Saturday,11,25.4,30518,48.6,57.9,37.0,6.9,0.0
2017-06-29,Thursday,6,17.41,64272,76.2,82.9,64.0,10.9,0.0
2017-08-26,Saturday,8,19.14,50109,71.0,78.1,64.0,5.7,0.0
2017-09-29,Friday,9,14.83,67177,63.3,77.0,57.0,9.0,0.0
2017-10-02,Monday,10,16.06,65511,64.5,73.9,52.0,4.8,0.0
2017-09-12,Tuesday,9,15.46,74580,71.9,82.0,59.0,2.9,0.0
2017-08-24,Thursday,8,20.0,66307,75.2,82.0,69.1,6.8,0.02
2017-12-20,Wednesday,12,14.19,41463,47.7,55.9,39.9,14.3,0.0
2017-12-29,Friday,12,10.92,13759,15.5,21.9,12.0,12.0,0.0
2017-08-28,Monday,8,16.82,60886,69.8,77.0,64.0,9.3,0.0
2017-04-12,Wednesday,4,14.59,51188,63.9,78.1,54.0,4.3,0.0
2017-09-25,Monday,9,14.69,69200,77.5,91.0,71.1,5.5,0.0
2017-09-01,Friday,9,16.9,54881,65.4,82.0,55.9,10.7,0.0
2016-09-30,Friday,9,11.51,21381,62.1,66.9,60.1,21.8,0.0
2016-05-30,Monday,5,19.59,32619,73.5,87.1,69.1,6.6,1.53
2016-03-04,Friday,3,12.66,17369,33.7,42.1,27.0,10.0,0.04
2016-03-28,Monday,3,14.66,20345,47.3,62.1,42.8,11.2,0.19
2016-09-11,Sunday,9,19.23,52245,80.6,91.0,75.9,11.5,0.0
2016-09-29,Thursday,9,12.95,55578,63.2,71.1,60.1,18.2,0.0
2016-07-25,Monday,7,14.4,35379,84.3,93.9,75.9,8.2,0.02
2016-07-29,Friday,7,15.57,37703,78.1,93.9,71.1,8.3,0.89
2016-03-27,Sunday,3,21.43,22483,45.8,54.0,39.0,6.8,0.0
2016-04-11,Monday,4,14.77,32048,50.2,61.0,33.1,11.7,0.0
2016-03-29,Tuesday,3,14.37,31481,49.7,63.0,43.0,21.8,0.32
2016-01-22,Friday,1,14.86,20950,27.3,37.9,21.9,10.5,0.0
2016-04-25,Monday,4,17.73,42308,56.6,68.0,48.0,6.5,0.0
2016-09-15,Thursday,9,15.07,67331,70.4,91.9,63.0,10.3,0.37
2016-08-27,Saturday,8,20.0,45674,82.4,91.0,75.9,8.2,0.0
2016-01-03,Sunday,1,15.74,15499,40.0,46.9,34.0,9.9,0.0
2016-07-21,Thursday,7,15.43,54842,80.9,91.0,71.1,8.3,0.0
2016-09-08,Thursday,9,14.54,61596,79.0,88.0,72.0,6.0,0.0
2016-05-16,Monday,5,17.33,42787,52.8,68.0,44.1,16.9,0.0
2016-09-22,Thursday,9,14.73,67810,76.8,86.0,70.0,5.8,0.0
2016-07-19,Tuesday,7,15.41,54593,80.2,97.0,75.9,10.9,0.12
2016-04-10,Sunday,4,20.43,23229,40.5,50.0,33.1,11.5,0.07
2016-02-27,Saturday,2,16.95,17226,32.6,42.1,28.0,11.5,0.0
2016-05-11,Wednesday,5,16.62,51181,63.0,73.9,51.1,5.4,0.0
2016-02-25,Thursday,2,12.41,25102,52.7,61.0,36.0,17.1,1.48
2016-05-13,Friday,5,16.22,32391,61.6,78.1,55.9,5.7,0.0
2016-04-30,Saturday,4,25.19,38258,52.8,63.0,46.9,6.2,0.02
2016-03-23,Wednesday,3,17.21,40983,57.4,71.1,50.0,9.1,0.0
2016-06-07,Tuesday,6,15.05,51812,79.3,87.1,68.0,9.1,0.0
2016-04-17,Sunday,4,24.62,38843,55.8,73.9,45.0,4.5,0.0
2016-06-18,Saturday,6,20.86,48901,73.0,86.0,63.0,5.3,0.0
2016-06-22,Wednesday,6,15.75,55749,77.9,89.1,66.9,8.8,0.0
2016-09-28,Wednesday,9,13.59,59464,67.6,75.9,62.1,10.8,0.0
2016-07-14,Thursday,7,15.63,50350,80.4,91.0,73.0,7.8,0.0
2016-02-03,Wednesday,2,11.66,16203,48.1,57.0,37.9,9.0,0.0
2016-04-14,Thursday,4,16.65,38505,49.9,61.0,42.1,6.5,0.0
2016-07-23,Saturday,7,18.09,37523,89.5,99.0,75.9,11.0,0.0
2016-01-14,Thursday,1,13.02,23780,28.7,39.0,24.1,11.0,0.0
2016-01-31,Sunday,1,16.04,16118,42.4,55.9,30.0,6.8,0.0
2016-03-19,Saturday,3,18.36,24048,43.5,57.0,37.0,7.0,0.0
2016-08-12,Friday,8,16.52,44750,86.5,98.1,75.9,7.9,0.56
2016-08-24,Wednesday,8,15.98,58154,78.6,89.1,66.9,6.4,0.0
2016-05-18,Wednesday,5,16.13,44803,59.3,69.1,55.0,7.2,0.0
2016-01-08,Friday,1,14.04,28709,40.3,48.0,32.0,7.0,0.0
2016-08-22,Monday,8,15.15,54404,76.0,89.1,71.1,15.1,0.13
2016-07-01,Friday,7,17.04,39669,76.9,87.1,70.0,8.4,0.0
2016-03-17,Thursday,3,16.21,35390,52.2,64.9,45.0,7.6,0.02
2016-02-13,Saturday,2,13.9,6625,21.6,27.0,10.9,17.0,0.0
2016-04-29,Friday,4,18.54,34878,52.0,59.0,48.0,7.8,0.0
2016-06-26,Sunday,6,19.89,42992,75.8,86.0,64.9,7.5,0.0
2016-01-07,Thursday,1,12.9,27773,39.0,48.0,26.1,3.7,0.0
2016-04-16,Saturday,4,21.13,36148,52.6,64.9,44.1,6.7,0.0
2016-07-24,Sunday,7,21.14,39637,85.2,99.0,75.9,7.0,0.0
2016-04-24,Sunday,4,23.7,37866,56.5,69.1,48.0,9.7,0.0
2015-12-31,Thursday,12,16.82,20376,47.0,48.2,46.0,5.7,0.17
2015-12-14,Monday,12,13.53,32518,53.7,62.1,51.1,5.6,0.0
2015-06-19,Friday,6,14.67,37380,73.2,84.9,64.9,6.0,0.0
2015-02-15,Sunday,2,9.5,2581,20.5,32.0,10.9,19.7,0.01
2015-09-30,Wednesday,9,14.55,39445,73.2,82.9,66.0,10.6,1.05
2015-02-22,Sunday,2,11.95,4274,34.1,42.1,14.0,3.7,0.71
2015-05-12,Tuesday,5,15.16,35225,74.9,87.1,64.0,9.1,0.0
2015-04-03,Friday,4,13.7,14774,59.2,63.0,39.0,9.5,0.0
2015-06-08,Monday,6,14.49,33585,67.5,77.0,57.0,11.6,0.0
2015-02-24,Tuesday,2,10.75,7402,12.4,37.9,6.1,9.9,0.0
2015-07-25,Saturday,7,20.2,31639,78.1,84.9,71.1,6.3,0.0
2015-02-28,Saturday,2,10.82,6318,22.1,30.0,15.1,7.2,0.0
2015-06-10,Wednesday,6,15.83,39350,74.2,84.9,66.0,8.2,0.01
2015-01-24,Saturday,1,10.51,4814,35.1,39.9,28.0,8.3,0.66
2015-03-21,Saturday,3,13.6,9338,34.9,46.9,28.9,7.1,0.29
2015-01-28,Wednesday,1,14.17,5401,23.5,34.0,17.1,11.7,0.01
2015-04-24,Friday,4,14.68,20981,43.4,50.0,39.0,16.1,0.0
2015-11-18,Wednesday,11,13.99,41485,50.5,59.0,41.0,7.3,0.0
2015-12-12,Saturday,12,20.0,31957,59.0,66.0,48.9,3.6,0.0
2015-03-30,Monday,3,12.11,18075,42.2,55.0,27.0,10.8,0.0
2015-10-23,Friday,10,17.51,44679,60.0,75.9,52.0,11.0,0.0
2015-06-01,Monday,6,10.94,15283,57.4,86.0,54.0,13.8,1.69
